                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.59623,                0.39615,                0.89738,                0.82924,                0.68254,                0.76565,                0.42333,                 1.8133,                 1.0067,                 1.8397,               0.007393,               0.007393,               0.007393
                     81,                0.58054,                0.38762,                0.90248,                0.85398,                0.74271,                0.77774,                0.43423,                 1.7291,                0.89663,                 1.7759,                0.00736,                0.00736,                0.00736
                     82,                0.57689,                0.38748,                0.89778,                0.90745,                 0.7782,                0.83571,                0.41935,                 1.8063,                0.85857,                 1.7908,               0.007327,               0.007327,               0.007327
                     83,                0.56642,                0.37784,                0.89786,                0.88921,                0.77778,                0.79789,                0.42158,                 1.7343,                0.93297,                 1.7884,               0.007294,               0.007294,               0.007294
                     84,                0.56057,                0.37762,                0.89184,                 0.8358,                0.74603,                0.77096,                0.42715,                 1.8015,                 1.0128,                 1.8727,               0.007261,               0.007261,               0.007261
                     85,                0.58591,                0.38336,                0.89861,                0.85107,                0.80952,                0.84367,                 0.4427,                 1.7517,                0.86095,                 1.8293,               0.007228,               0.007228,               0.007228
                     86,                0.59053,                 0.3898,                0.90882,                0.93121,                0.65079,                  0.776,                0.41456,                 1.8257,                0.93117,                 1.8024,               0.007195,               0.007195,               0.007195
                     87,                0.55779,                0.38098,                0.89691,                0.86515,                0.81475,                0.82577,                0.41262,                  1.784,                0.90484,                 1.8108,               0.007162,               0.007162,               0.007162
                     88,                0.54472,                0.36702,                0.88975,                0.81249,                 0.7619,                0.77165,                0.42172,                 1.7707,                0.86932,                 1.8325,               0.007129,               0.007129,               0.007129
                     89,                0.55177,                0.36548,                0.88724,                0.88818,                0.75653,                0.82857,                0.44831,                 1.7876,                0.89158,                 1.8405,               0.007096,               0.007096,               0.007096
                     90,                0.56869,                0.37534,                0.89685,                0.85691,                0.76051,                0.81245,                0.44519,                 1.7429,                0.81517,                 1.7365,               0.007063,               0.007063,               0.007063
